ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,Column3,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,OrderDate,DueDate,ShipDate,Customerfullname,UnitPrice2,Product Subcategory,Product Name,Date,   Year,   Monthno,  Monthfullname,   Quarter,  Year-Month,  Weekdayno,weekdaysname,Financial Month,Financial Quarter,Sale Amount,Production cost ,Profit,Gender,Org Product Name,Territory Region,Territory Country
483,20140128,20140209,20140204,11078,1,100,6,6,SO75084,1,1,1,120,120,0,0,44.88,44.88,120,9.6,3,41667,41679,41674,Gina Martin,120,Bike Racks,Hitch Rack - 4-Bike,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,120,44.88,75.12,F,Accessories,Canada,Canada
225,20140128,20140209,20140204,11927,1,100,1,1,SO75085,1,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,41667,41679,41674,Nicole Murphy,8.99,Caps,AWC Logo Cap,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,8.99,6.9223,2.0677,F,Clothing,Northwest,United States
484,20140128,20140209,20140204,11927,1,100,1,1,SO75085,2,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,41667,41679,41674,Nicole Murphy,7.95,Cleaners,Bike Wash - Dissolver,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,7.95,2.9733,4.9767,F,Accessories,Northwest,United States
484,20140128,20140209,20140204,28789,1,100,4,4,SO75086,1,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,41667,41679,41674,Elijah Zhang,7.95,Cleaners,Bike Wash - Dissolver,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,7.95,2.9733,4.9767,M,Accessories,Southwest,United States
214,20140128,20140209,20140204,11794,1,100,4,4,SO75087,1,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,41667,41679,41674,Lauren Ross,34.99,Helmets,"Sport-100 Helmet, Red",01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,34.99,13.0863,21.9037,F,Accessories,Southwest,United States
529,20140128,20140209,20140204,14680,1,100,9,9,SO75088,1,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,41667,41679,41674,Marvin Munoz,3.99,Tires and Tubes,Road Tire Tube,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,3.99,1.4923,2.4977,M,Accessories,Australia,Australia
539,20140128,20140209,20140204,14680,1,100,9,9,SO75088,2,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,41667,41679,41674,Marvin Munoz,24.99,Tires and Tubes,ML Road Tire,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,24.99,9.3463,15.6437,M,Accessories,Australia,Australia
222,20140128,20140209,20140204,14680,1,100,9,9,SO75088,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,41667,41679,41674,Marvin Munoz,34.99,Helmets,"Sport-100 Helmet, Blue",01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,34.99,13.0863,21.9037,M,Accessories,Australia,Australia
228,20140128,20140209,20140204,14680,1,100,9,9,SO75088,4,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,41667,41679,41674,Marvin Munoz,49.99,Jerseys,"Long-Sleeve Logo Jersey, S",01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,49.99,38.4923,11.4977,M,Clothing,Australia,Australia
538,20140128,20140209,20140204,19585,1,100,9,9,SO75089,1,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,41667,41679,41674,Kristi Fernandez,21.49,Tires and Tubes,LL Road Tire,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,21.49,8.0373,13.4527,F,Accessories,Australia,Australia
529,20140128,20140209,20140204,19585,1,100,9,9,SO75089,2,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,41667,41679,41674,Kristi Fernandez,3.99,Tires and Tubes,Road Tire Tube,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,3.99,1.4923,2.4977,F,Accessories,Australia,Australia
222,20140128,20140209,20140204,19585,1,100,9,9,SO75089,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,41667,41679,41674,Kristi Fernandez,34.99,Helmets,"Sport-100 Helmet, Blue",01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,34.99,13.0863,21.9037,F,Accessories,Australia,Australia
528,20140128,20140209,20140204,27686,1,100,9,9,SO75090,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,41667,41679,41674,Vincent Zhang,4.99,Tires and Tubes,Mountain Tire Tube,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,4.99,1.8663,3.1237,M,Accessories,Australia,Australia
537,20140128,20140209,20140204,27686,1,100,9,9,SO75090,2,1,1,35,35,0,0,13.09,13.09,35,2.8,0.875,41667,41679,41674,Vincent Zhang,35,Tires and Tubes,HL Mountain Tire,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,35,13.09,21.91,M,Accessories,Australia,Australia
217,20140128,20140209,20140204,27686,1,100,9,9,SO75090,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,41667,41679,41674,Vincent Zhang,34.99,Helmets,"Sport-100 Helmet, Black",01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,34.99,13.0863,21.9037,M,Accessories,Australia,Australia
538,20140128,20140209,20140204,20601,1,100,9,9,SO75091,1,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,41667,41679,41674,Carrie Munoz,21.49,Tires and Tubes,LL Road Tire,01/28/2014,2014,1,January,Q1,2014-Jan,2,Tuesday,10,Q4,21.49,8.0373,13.4527,F,Accessories,Australia,Australia
